ID,NOME,ESPECIE,IDADE,PESO,CADASTRO_ATIVO,PROCEDIMENTOS
32,Café,Gato,10,34.83,True,Limpeza_tártaro
33,Café,Porquinho-da-india,12,12.26,True,Castração;Ultrassonografia;Limpeza_tártaro
34,Paçoca,Calopsita,2,24.09,True,Vacinação;Limpeza_tártaro;Ultrassonografia
35,Arya,Gato,15,6.3,False,Vacinação;Curativo_ferida;Castração
36,Pipoca,Calopsita,11,24.43,False,Limpeza_tártaro
37,Yoda,Cachorro,8,29.88,False,Ultrassonografia;Hemograma;Curativo_ferida
38,Arthur,Porquinho-da-india,6,26.91,False,Castração
39,Loki,Cachorro,2,38.21,False,Vacinação
40,Arya,Hamster,6,25.98,True,Consulta_rotina
41,Thor,Gato,11,37.28,False,Curativo_ferida;Vacinação;Ultrassonografia
42,Jade,Coelho,3,6.65,False,Curativo_ferida;Hemograma
43,Otto,Coelho,2,12.25,True,Curativo_ferida;Castração
44,Sherlock,Cachorro,8,4.32,True,Ultrassonografia;Consulta_rotina;Curativo_ferida
45,Loki,Calopsita,1,38.32,False,Castração;Consulta_rotina
46,Thor,Hamster,3,11.5,False,Vacinação;Curativo_ferida;Limpeza_tártaro
47,Bento,Tartaruga,2,1.87,False,Limpeza_tártaro;Curativo_ferida;Consulta_rotina
48,Nina,Coelho,13,17.41,True,Hemograma
49,Jade,Calopsita,2,8.73,False,Curativo_ferida;Hemograma;Limpeza_tártaro
50,Arthur,Peixe-dourado,15,37.96,True,Castração;Limpeza_tártaro;Curativo_ferida
51,Bento,Cachorro,14,11.78,True,Vacinação
52,Yoda,Gato,12,25.42,True,Vacinação
53,Zelda,Peixe-dourado,11,6.64,False,Hemograma
54,Bento,Gato,9,3.17,True,Limpeza_tártaro;Castração
55,Sherlock,Calopsita,15,34.47,True,Consulta_rotina;Hemograma;Vacinação
56,Thor,Porquinho-da-india,10,28.97,False,Hemograma;Vacinação
57,Yoda,Hamster,9,23.29,True,Hemograma;Ultrassonografia
58,Sushi,Porquinho-da-india,5,11.44,False,Limpeza_tártaro;Consulta_rotina;Ultrassonografia
59,Zelda,Porquinho-da-india,4,24.45,True,Castração;Consulta_rotina;Curativo_ferida
60,Otto,Peixe-dourado,11,25.61,True,Vacinação;Castração
61,Vicente,Gato,1,2.48,True,Curativo_ferida;Limpeza_tártaro
62,Jade,Coelho,15,10.96,False,Curativo_ferida;Hemograma
63,Loki,Cachorro,9,13.45,True,Vacinação
64,Jujuba,Peixe-dourado,3,8.09,False,Castração;Hemograma
65,Cacau,Peixe-dourado,4,26.94,False,Ultrassonografia;Limpeza_tártaro;Vacinação
66,Joaquim,Coelho,6,7.83,False,Limpeza_tártaro;Hemograma;Consulta_rotina
67,Clara,Gato,2,32.08,True,Consulta_rotina
68,Thor,Calopsita,5,39.43,True,Consulta_rotina;Vacinação;Curativo_ferida
69,Jujuba,Peixe-dourado,15,16.39,True,Vacinação
70,Loki,Tartaruga,1,22.57,False,Castração;Hemograma;Curativo_ferida
71,Luna,Calopsita,5,18.36,True,Curativo_ferida;Hemograma;Vacinação
72,Arthur,Tartaruga,5,21.63,True,Castração;Hemograma;Curativo_ferida
73,Bento,Coelho,10,4.39,False,Castração;Vacinação;Curativo_ferida
74,Bento,Coelho,2,20.4,True,Castração;Vacinação;Hemograma
75,Otto,Hamster,2,39.32,True,Consulta_rotina;Vacinação;Limpeza_tártaro
76,Theo,Cachorro,4,8.69,False,Vacinação;Limpeza_tártaro
77,Arthur,Peixe-dourado,3,18.91,True,Consulta_rotina
78,Cookie,Peixe-dourado,10,0.79,False,Castração;Vacinação;Hemograma
79,Lola,Porquinho-da-india,5,8.69,False,Castração;Hemograma;Limpeza_tártaro
80,Joaquim,Peixe-dourado,9,35.44,False,Consulta_rotina;Vacinação;Curativo_ferida
81,Tequila,Calopsita,12,24.46,False,Curativo_ferida;Ultrassonografia;Hemograma
82,Nala,Cachorro,12,26.55,False,Limpeza_tártaro
83,Zeca,Peixe-dourado,8,9.8,False,Consulta_rotina;Limpeza_tártaro
84,Amora,Coelho,7,21.93,False,Ultrassonografia;Hemograma
85,Cacau,Gato,14,22.0,True,Ultrassonografia
86,Otto,Hamster,8,11.59,False,Ultrassonografia;Consulta_rotina
87,Luna,Gato,11,27.39,False,Limpeza_tártaro;Consulta_rotina;Castração
88,Joaquim,Cachorro,11,0.59,False,Limpeza_tártaro
89,Tequila,Porquinho-da-india,15,37.94,False,Vacinação;Ultrassonografia
90,Simba,Calopsita,10,38.26,False,Vacinação
91,Cacau,Peixe-dourado,5,18.91,False,Limpeza_tártaro
92,Otto,Calopsita,4,14.05,False,Limpeza_tártaro;Vacinação;Castração
93,Luna,Gato,8,33.91,True,Limpeza_tártaro;Vacinação;Castração
94,Cecília,Porquinho-da-india,14,36.63,False,Ultrassonografia;Curativo_ferida;Hemograma
95,Sherlock,Calopsita,14,6.4,False,Ultrassonografia;Consulta_rotina;Limpeza_tártaro
96,Loki,Cachorro,4,38.13,False,Consulta_rotina
97,Cacau,Tartaruga,15,14.87,False,Curativo_ferida;Hemograma;Limpeza_tártaro
98,Pipoca,Peixe-dourado,12,39.84,False,Hemograma;Limpeza_tártaro;Vacinação
99,Koda,Hamster,4,22.1,True,Ultrassonografia;Castração
100,Sherlock,Calopsita,1,25.45,True,Castração;Hemograma;Limpeza_tártaro
101,Theo,Porquinho-da-india,15,4.71,False,Consulta_rotina
102,Yoda,Gato,10,36.56,False,Consulta_rotina
103,Simba,Peixe-dourado,1,18.42,True,Ultrassonografia;Castração
104,Flora,Coelho,4,11.35,False,Consulta_rotina;Limpeza_tártaro
105,Pipoca,Coelho,14,18.62,False,Castração;Curativo_ferida
106,Pipoca,Tartaruga,14,24.8,False,Hemograma
107,Paçoca,Calopsita,11,5.8,True,Ultrassonografia;Curativo_ferida;Hemograma
108,Pudim,Hamster,10,32.85,False,Ultrassonografia;Hemograma
109,Jujuba,Tartaruga,10,31.05,False,Vacinação
110,Koda,Coelho,3,37.82,False,Consulta_rotina;Vacinação
111,Vicente,Cachorro,9,37.78,False,Castração;Vacinação;Consulta_rotina
112,Yoda,Gato,3,39.34,False,Limpeza_tártaro
113,Stitch,Cachorro,2,25.12,True,Hemograma;Curativo_ferida
114,Joaquim,Peixe-dourado,7,19.01,False,Limpeza_tártaro;Curativo_ferida
115,Gaia,Cachorro,3,6.37,True,Vacinação
116,Pipoca,Gato,11,16.05,True,Ultrassonografia;Castração
117,Café,Gato,10,15.19,True,Hemograma;Limpeza_tártaro
118,Koda,Gato,3,24.47,False,Hemograma;Consulta_rotina
119,Lola,Peixe-dourado,12,17.82,True,Consulta_rotina;Vacinação;Limpeza_tártaro
120,Bento,Peixe-dourado,1,2.78,False,Curativo_ferida;Castração;Consulta_rotina
121,Cacau,Cachorro,14,28.73,True,Hemograma
122,Thor,Hamster,9,5.13,False,Limpeza_tártaro;Curativo_ferida
123,Bento,Tartaruga,10,31.29,False,Limpeza_tártaro
124,Theo,Calopsita,10,23.41,False,Ultrassonografia;Hemograma
125,Flora,Calopsita,15,32.32,False,Limpeza_tártaro;Consulta_rotina;Ultrassonografia
126,Arya,Coelho,7,28.44,False,Consulta_rotina;Vacinação
127,Thor,Hamster,6,35.84,False,Vacinação;Ultrassonografia;Limpeza_tártaro
128,Tequila,Hamster,10,37.08,True,Ultrassonografia
129,Bento,Porquinho-da-india,3,12.84,False,Consulta_rotina;Vacinação;Limpeza_tártaro
130,Amora,Hamster,13,38.59,False,Consulta_rotina
131,Yoda,Cachorro,1,9.16,False,Curativo_ferida
132,Pudim,Peixe-dourado,6,34.8,True,Vacinação;Hemograma;Limpeza_tártaro
133,Tequila,Porquinho-da-india,15,39.24,False,Limpeza_tártaro;Curativo_ferida
134,Bento,Cachorro,7,25.54,False,Curativo_ferida;Hemograma
135,Koda,Coelho,12,5.48,True,Curativo_ferida;Hemograma
136,Lola,Calopsita,14,17.74,True,Ultrassonografia
137,Nala,Gato,6,9.51,True,Hemograma
138,Jujuba,Peixe-dourado,4,28.9,True,Castração
139,Bento,Coelho,11,34.21,False,Ultrassonografia
140,Sherlock,Hamster,2,9.86,False,Ultrassonografia;Limpeza_tártaro
141,Alecrim,Porquinho-da-india,3,22.79,False,Castração
142,Bento,Porquinho-da-india,7,0.95,True,Consulta_rotina
143,Clara,Coelho,2,19.72,False,Ultrassonografia;Consulta_rotina
144,Theo,Calopsita,4,33.05,True,Ultrassonografia;Hemograma;Curativo_ferida
145,Zeca,Porquinho-da-india,1,20.14,True,Curativo_ferida;Limpeza_tártaro
146,Lola,Calopsita,9,12.6,True,Castração
147,Thor,Porquinho-da-india,6,29.94,True,Ultrassonografia;Castração;Limpeza_tártaro
148,Café,Hamster,9,22.47,False,Curativo_ferida;Consulta_rotina
149,Zelda,Peixe-dourado,13,39.2,True,Curativo_ferida;Ultrassonografia;Limpeza_tártaro
150,Simba,Peixe-dourado,6,18.55,True,Consulta_rotina;Ultrassonografia
151,Alice,Calopsita,3,11.46,False,Limpeza_tártaro
152,Loki,Cachorro,12,21.08,True,Vacinação;Curativo_ferida
153,Jujuba,Tartaruga,11,18.05,True,Limpeza_tártaro;Curativo_ferida;Consulta_rotina
154,Zelda,Tartaruga,13,8.43,False,Curativo_ferida;Limpeza_tártaro
155,Theo,Peixe-dourado,11,18.58,True,Castração;Curativo_ferida;Limpeza_tártaro
156,Yoda,Hamster,5,23.41,False,Vacinação;Curativo_ferida;Ultrassonografia
157,Stitch,Hamster,7,10.2,False,Ultrassonografia;Curativo_ferida;Vacinação
158,Stitch,Peixe-dourado,7,30.65,True,Vacinação;Limpeza_tártaro
159,Amora,Cachorro,4,23.13,True,Consulta_rotina;Limpeza_tártaro
160,Pudim,Gato,8,30.8,True,Ultrassonografia;Consulta_rotina
161,Pudim,Peixe-dourado,6,4.82,True,Consulta_rotina;Curativo_ferida
162,Clara,Hamster,1,18.72,True,Vacinação;Consulta_rotina;Castração
163,Zelda,Peixe-dourado,10,35.97,True,Curativo_ferida
164,Nina,Calopsita,9,0.9,False,Vacinação;Limpeza_tártaro
165,Vicente,Tartaruga,2,23.96,True,Castração
166,Thor,Gato,5,24.08,True,Consulta_rotina
167,Cookie,Coelho,3,38.53,True,Castração;Curativo_ferida;Hemograma
168,Pipoca,Gato,6,6.51,True,Limpeza_tártaro;Ultrassonografia
169,Frodo,Hamster,15,31.32,True,Vacinação;Curativo_ferida;Consulta_rotina
170,Vicente,Tartaruga,14,16.66,False,Vacinação;Castração;Ultrassonografia
171,Pudim,Peixe-dourado,10,18.28,True,Castração;Ultrassonografia
172,Zeca,Tartaruga,6,17.46,True,Castração
173,Clara,Peixe-dourado,2,28.98,False,Castração;Hemograma
174,Pudim,Hamster,11,29.08,True,Limpeza_tártaro;Vacinação;Consulta_rotina
175,Cookie,Gato,5,35.47,False,Hemograma;Consulta_rotina
176,Simba,Calopsita,12,16.66,False,Vacinação
177,Clara,Hamster,15,10.49,True,Hemograma;Limpeza_tártaro;Ultrassonografia
178,Arya,Hamster,1,5.55,False,Ultrassonografia;Consulta_rotina;Limpeza_tártaro
179,Stitch,Tartaruga,6,37.09,True,Hemograma;Ultrassonografia
180,Clara,Hamster,3,18.36,True,Hemograma
181,Alice,Peixe-dourado,1,10.06,False,Castração;Curativo_ferida
182,Theo,Peixe-dourado,11,1.66,True,Consulta_rotina;Limpeza_tártaro;Curativo_ferida
183,Theo,Tartaruga,9,25.06,False,Limpeza_tártaro;Hemograma;Vacinação
184,Stitch,Calopsita,12,21.72,False,Consulta_rotina;Vacinação
185,Clara,Coelho,15,14.15,False,Curativo_ferida;Hemograma;Consulta_rotina
186,Pudim,Hamster,15,28.89,True,Consulta_rotina;Castração
187,Frodo,Cachorro,4,25.17,True,Castração;Hemograma;Limpeza_tártaro
188,Yoda,Hamster,8,29.6,True,Vacinação;Ultrassonografia
189,Flora,Cachorro,1,20.71,False,Hemograma;Curativo_ferida;Consulta_rotina
190,Jujuba,Peixe-dourado,14,34.53,True,Castração;Limpeza_tártaro
191,Thor,Hamster,1,9.03,True,Ultrassonografia;Limpeza_tártaro;Castração
192,Gaia,Coelho,5,25.79,True,Castração;Hemograma
193,Sushi,Porquinho-da-india,4,12.71,True,Consulta_rotina;Vacinação;Castração
194,Joaquim,Porquinho-da-india,1,17.86,True,Limpeza_tártaro
195,Lola,Cachorro,6,1.1,False,Consulta_rotina;Ultrassonografia;Curativo_ferida
196,Pipoca,Calopsita,7,22.49,False,Consulta_rotina
197,Koda,Cachorro,6,13.12,True,Consulta_rotina;Curativo_ferida;Ultrassonografia
198,Gaia,Tartaruga,8,36.93,False,Curativo_ferida;Castração
199,Stitch,Calopsita,14,9.46,True,Vacinação;Consulta_rotina;Ultrassonografia
200,Zelda,Calopsita,4,18.59,True,Consulta_rotina;Castração;Vacinação
201,Frodo,Calopsita,7,4.57,True,Castração
202,Jujuba,Calopsita,9,14.6,False,Limpeza_tártaro
203,Koda,Porquinho-da-india,11,23.82,True,Castração;Curativo_ferida
204,Bento,Peixe-dourado,3,29.23,False,Curativo_ferida
205,Sherlock,Porquinho-da-india,6,8.56,False,Limpeza_tártaro
206,Cacau,Cachorro,7,10.43,True,Vacinação;Limpeza_tártaro
207,Loki,Cachorro,3,34.63,True,Castração
208,Koda,Hamster,9,31.32,False,Curativo_ferida;Consulta_rotina;Ultrassonografia
209,Theo,Calopsita,6,2.55,False,Limpeza_tártaro;Hemograma
210,Otto,Tartaruga,1,14.45,True,Castração;Curativo_ferida
211,Arya,Calopsita,6,39.98,True,Ultrassonografia;Consulta_rotina;Limpeza_tártaro
212,Vicente,Peixe-dourado,11,20.03,False,Curativo_ferida
213,Pipoca,Tartaruga,14,16.05,False,Castração
214,Sherlock,Porquinho-da-india,7,6.74,False,Vacinação;Castração
215,Simba,Gato,15,9.17,True,Curativo_ferida;Vacinação;Ultrassonografia
216,Jade,Tartaruga,4,30.5,True,Castração;Vacinação;Consulta_rotina
217,Café,Porquinho-da-india,6,7.51,False,Consulta_rotina;Vacinação
218,Mel,Peixe-dourado,14,38.52,False,Curativo_ferida
219,Cookie,Calopsita,15,7.6,False,Hemograma
220,Luna,Hamster,11,13.93,True,Curativo_ferida;Castração;Vacinação
221,Tequila,Peixe-dourado,8,38.26,True,Castração;Limpeza_tártaro;Ultrassonografia
222,Theo,Cachorro,5,23.5,True,Consulta_rotina
223,Nala,Hamster,11,31.27,False,Ultrassonografia;Hemograma;Castração
224,Paçoca,Gato,2,32.31,True,Castração;Curativo_ferida;Vacinação
225,Vicente,Porquinho-da-india,8,6.45,False,Vacinação
226,Arthur,Calopsita,9,4.45,True,Ultrassonografia;Hemograma;Consulta_rotina
227,Pipoca,Porquinho-da-india,4,24.67,True,Vacinação;Curativo_ferida
228,Alice,Hamster,3,17.52,True,Vacinação;Ultrassonografia
229,Flora,Gato,14,36.2,True,Ultrassonografia
230,Clara,Tartaruga,3,6.59,True,Hemograma
231,Pipoca,Cachorro,10,1.92,False,Consulta_rotina
232,Paçoca,Porquinho-da-india,4,1.93,False,Castração
233,Lola,Cachorro,5,32.22,True,Vacinação;Consulta_rotina;Hemograma
234,Sushi,Gato,2,38.87,False,Vacinação
235,Joaquim,Gato,5,7.81,True,Limpeza_tártaro;Castração;Vacinação
236,Arya,Porquinho-da-india,12,38.86,False,Limpeza_tártaro;Vacinação
237,Joaquim,Calopsita,2,13.63,True,Castração;Consulta_rotina
238,Frodo,Calopsita,13,38.46,False,Castração;Consulta_rotina
239,Nina,Coelho,5,7.11,True,Consulta_rotina;Vacinação
240,Theo,Coelho,6,27.24,False,Ultrassonografia;Vacinação
241,Theo,Calopsita,15,6.19,False,Ultrassonografia;Curativo_ferida
242,Bento,Coelho,10,30.73,True,Vacinação;Curativo_ferida
243,Paçoca,Calopsita,1,35.84,True,Consulta_rotina
244,Cookie,Peixe-dourado,12,20.06,True,Ultrassonografia;Limpeza_tártaro;Vacinação
245,Clara,Porquinho-da-india,1,1.99,False,Ultrassonografia
246,Sushi,Porquinho-da-india,14,19.03,False,Consulta_rotina;Castração;Ultrassonografia
247,Arya,Tartaruga,14,33.28,False,Castração;Limpeza_tártaro
248,Pipoca,Cachorro,15,6.22,False,Vacinação;Castração;Ultrassonografia
249,Pipoca,Coelho,15,28.53,True,Limpeza_tártaro;Castração;Curativo_ferida
250,Thor,Hamster,12,19.74,True,Vacinação;Consulta_rotina
251,Jujuba,Hamster,10,20.86,False,Ultrassonografia;Limpeza_tártaro;Curativo_ferida
252,Otto,Cachorro,6,27.8,True,Ultrassonografia;Vacinação
253,Cecília,Cachorro,11,13.03,False,Ultrassonografia
254,Sushi,Gato,11,34.04,False,Consulta_rotina;Ultrassonografia;Castração
255,Jujuba,Coelho,8,13.04,True,Limpeza_tártaro
256,Bento,Peixe-dourado,7,20.16,True,Consulta_rotina
257,Sushi,Coelho,10,18.51,False,Castração;Hemograma
258,Pudim,Calopsita,10,14.89,True,Hemograma
259,Mel,Tartaruga,2,33.87,True,Curativo_ferida;Consulta_rotina;Limpeza_tártaro
260,Koda,Gato,13,37.96,True,Hemograma;Castração
261,Jade,Gato,4,9.69,False,Limpeza_tártaro
262,Mel,Coelho,1,8.92,False,Castração;Ultrassonografia
263,Amora,Calopsita,5,3.34,True,Ultrassonografia
264,Lola,Cachorro,14,23.6,True,Ultrassonografia
265,Arya,Cachorro,12,25.99,True,Curativo_ferida;Consulta_rotina;Castração
266,Vicente,Coelho,8,35.34,True,Hemograma
267,Vicente,Coelho,15,23.59,False,Limpeza_tártaro;Castração;Ultrassonografia
268,Thor,Hamster,11,14.99,False,Hemograma;Ultrassonografia;Castração
269,Luna,Coelho,15,14.25,False,Castração
270,Theo,Coelho,12,21.84,True,Castração;Hemograma
271,Otto,Hamster,14,27.13,False,Ultrassonografia
272,Sushi,Cachorro,15,0.99,False,Hemograma
273,Luna,Coelho,11,19.71,False,Hemograma;Vacinação;Ultrassonografia
274,Simba,Coelho,6,0.88,False,Ultrassonografia;Castração;Limpeza_tártaro
275,Amora,Cachorro,4,2.07,True,Ultrassonografia
276,Pudim,Peixe-dourado,15,1.47,True,Vacinação;Castração;Limpeza_tártaro
277,Arthur,Gato,12,24.03,True,Limpeza_tártaro;Consulta_rotina
278,Pipoca,Gato,3,18.25,False,Vacinação
279,Cacau,Tartaruga,2,6.91,True,Limpeza_tártaro
280,Arthur,Tartaruga,10,30.55,False,Vacinação;Hemograma;Curativo_ferida
281,Lola,Tartaruga,7,18.68,True,Vacinação;Curativo_ferida
282,Jade,Gato,15,31.76,False,Ultrassonografia
283,Tequila,Cachorro,4,28.86,False,Consulta_rotina;Castração;Curativo_ferida
284,Paçoca,Peixe-dourado,15,32.54,False,Curativo_ferida
285,Sushi,Calopsita,3,26.06,True,Ultrassonografia;Castração
286,Café,Hamster,7,35.95,True,Limpeza_tártaro;Vacinação
287,Nina,Gato,8,5.06,False,Hemograma;Vacinação;Ultrassonografia
288,Arthur,Calopsita,11,3.16,False,Hemograma;Limpeza_tártaro;Vacinação
289,Mel,Gato,3,32.26,False,Ultrassonografia;Curativo_ferida
290,Koda,Coelho,15,15.37,True,Consulta_rotina;Curativo_ferida;Castração
291,Lola,Hamster,5,33.94,False,Limpeza_tártaro;Ultrassonografia;Vacinação
292,Cookie,Tartaruga,9,38.11,False,Consulta_rotina;Limpeza_tártaro;Hemograma
293,Cookie,Coelho,4,23.84,False,Curativo_ferida
294,Luna,Peixe-dourado,6,30.91,False,Limpeza_tártaro;Curativo_ferida
295,Sushi,Tartaruga,7,24.41,False,Consulta_rotina;Limpeza_tártaro;Vacinação
296,Frodo,Gato,13,22.81,True,Ultrassonografia;Vacinação
297,Simba,Hamster,1,20.74,True,Limpeza_tártaro;Curativo_ferida
298,Café,Tartaruga,6,36.82,False,Vacinação
299,Bento,Tartaruga,9,39.35,False,Vacinação;Curativo_ferida;Ultrassonografia
300,Koda,Peixe-dourado,14,24.8,False,Curativo_ferida;Ultrassonografia
301,Cookie,Peixe-dourado,10,4.21,False,Vacinação
302,Thor,Calopsita,10,31.67,False,Castração;Ultrassonografia;Vacinação
303,Nina,Peixe-dourado,12,23.29,False,Ultrassonografia
304,Simba,Hamster,13,39.37,True,Hemograma;Castração;Limpeza_tártaro
305,Arthur,Calopsita,3,26.36,False,Limpeza_tártaro
306,Alecrim,Tartaruga,13,31.05,False,Vacinação
307,Clara,Cachorro,2,34.09,False,Ultrassonografia;Vacinação
308,Thor,Gato,1,16.7,False,Consulta_rotina;Ultrassonografia;Hemograma
309,Sushi,Hamster,15,19.05,True,Limpeza_tártaro
310,Frodo,Hamster,10,26.52,True,Limpeza_tártaro;Vacinação;Curativo_ferida
311,Arthur,Tartaruga,6,17.27,True,Consulta_rotina;Limpeza_tártaro
312,Arthur,Coelho,7,24.62,False,Vacinação
313,Flora,Cachorro,9,35.24,True,Hemograma
314,Alice,Porquinho-da-india,1,20.05,False,Castração
315,Loki,Porquinho-da-india,4,19.87,False,Consulta_rotina;Castração
316,Joaquim,Hamster,10,17.83,True,Hemograma
317,Vicente,Cachorro,12,1.16,True,Limpeza_tártaro
318,Flora,Gato,5,29.15,True,Limpeza_tártaro;Hemograma
319,Bento,Peixe-dourado,15,36.89,False,Vacinação;Curativo_ferida;Ultrassonografia
320,Loki,Hamster,13,31.44,False,Curativo_ferida;Limpeza_tártaro
321,Sherlock,Peixe-dourado,11,26.56,False,Hemograma
322,Simba,Cachorro,7,14.14,True,Consulta_rotina
323,Nala,Tartaruga,5,3.79,True,Vacinação
324,Tequila,Porquinho-da-india,4,12.76,False,Hemograma;Castração
325,Otto,Cachorro,2,14.59,True,Consulta_rotina;Castração
326,Pudim,Cachorro,5,7.32,False,Hemograma;Castração
327,Paçoca,Calopsita,2,20.5,True,Consulta_rotina;Vacinação
328,Cecília,Gato,15,28.58,False,Consulta_rotina;Curativo_ferida;Vacinação
329,Cacau,Coelho,7,6.32,False,Ultrassonografia;Consulta_rotina;Castração
330,Stitch,Calopsita,1,9.12,True,Castração;Limpeza_tártaro;Ultrassonografia
331,Stitch,Gato,6,23.6,False,Hemograma;Castração
332,Café,Coelho,6,20.45,True,Ultrassonografia;Consulta_rotina
333,Arya,Calopsita,6,34.36,True,Curativo_ferida;Hemograma;Ultrassonografia
334,Clara,Cachorro,8,27.91,False,Limpeza_tártaro
335,Clara,Coelho,4,30.53,True,Limpeza_tártaro;Vacinação
336,Frodo,Hamster,13,21.98,True,Curativo_ferida;Limpeza_tártaro;Vacinação
337,Arya,Porquinho-da-india,9,9.41,False,Ultrassonografia;Hemograma;Curativo_ferida
338,Café,Gato,6,12.99,True,Curativo_ferida;Castração;Ultrassonografia
339,Cacau,Cachorro,1,31.9,True,Castração;Curativo_ferida
340,Alice,Gato,12,14.97,False,Ultrassonografia;Castração
341,Zelda,Gato,10,16.11,True,Hemograma;Ultrassonografia;Curativo_ferida
342,Arthur,Gato,15,29.33,False,Castração;Curativo_ferida;Hemograma
343,Gaia,Peixe-dourado,1,21.23,True,Limpeza_tártaro
344,Thor,Porquinho-da-india,13,30.45,False,Vacinação
345,Otto,Gato,10,31.38,False,Castração;Consulta_rotina
346,Bento,Calopsita,5,39.23,True,Ultrassonografia
347,Bento,Calopsita,11,1.48,False,Hemograma;Vacinação
348,Sherlock,Coelho,12,12.94,False,Curativo_ferida;Vacinação;Consulta_rotina
349,Jujuba,Hamster,9,20.57,False,Consulta_rotina
350,Koda,Peixe-dourado,12,22.5,False,Hemograma;Vacinação
351,Simba,Tartaruga,14,34.24,False,Limpeza_tártaro
352,Nala,Hamster,3,37.78,True,Limpeza_tártaro
353,Joaquim,Peixe-dourado,11,39.91,True,Curativo_ferida;Ultrassonografia;Hemograma
354,Nina,Cachorro,12,4.9,True,Hemograma;Consulta_rotina
355,Alice,Peixe-dourado,14,8.44,True,Ultrassonografia;Curativo_ferida;Limpeza_tártaro
356,Nala,Cachorro,10,30.35,False,Castração
357,Tequila,Gato,10,12.19,False,Ultrassonografia;Vacinação
358,Arya,Tartaruga,6,9.26,False,Limpeza_tártaro
359,Flora,Hamster,13,11.85,False,Ultrassonografia;Consulta_rotina;Hemograma
360,Cookie,Peixe-dourado,11,34.98,True,Hemograma
361,Zelda,Coelho,14,16.68,False,Limpeza_tártaro
362,Luna,Tartaruga,3,3.88,False,Hemograma
363,Sushi,Porquinho-da-india,14,23.98,False,Vacinação
364,Sushi,Porquinho-da-india,2,33.36,False,Ultrassonografia
365,Vicente,Tartaruga,9,11.83,True,Limpeza_tártaro
366,Sherlock,Gato,10,15.86,False,Limpeza_tártaro;Vacinação;Curativo_ferida
367,Alice,Peixe-dourado,13,30.67,False,Limpeza_tártaro;Curativo_ferida
368,Simba,Calopsita,2,8.03,False,Vacinação;Ultrassonografia
369,Cacau,Gato,8,4.63,True,Consulta_rotina
370,Thor,Gato,9,22.37,False,Ultrassonografia;Castração
371,Yoda,Hamster,9,11.72,False,Ultrassonografia;Consulta_rotina;Vacinação
372,Nina,Cachorro,14,14.45,False,Hemograma
373,Yoda,Cachorro,2,10.99,True,Castração
374,Luna,Calopsita,8,21.64,False,Consulta_rotina;Ultrassonografia
375,Tequila,Peixe-dourado,2,17.25,False,Consulta_rotina
376,Theo,Hamster,13,31.27,True,Castração;Curativo_ferida;Vacinação
377,Sherlock,Hamster,3,28.77,False,Limpeza_tártaro;Vacinação;Castração
